"Metro Area",Year,"OneD Index","Economic Prosperity Index","Educational Preparedness Index","Social Equity Index","Quality of Life Index","Regional Transit Index"
"Nashville-Davidson-Murfreesboro-Columbia, TN",2009,2.1,1.91,2.03,2.36,2.75,1.46
"New Orleans-Metairie-Bogalusa, LA",2009,1.91,1.12,1.96,1.84,2.75,1.86
"New York-Newark-Bridgeport, NY-NJ-CT-PA",2009,2.41,2.36,3.41,1.31,2.4,2.57
"Oklahoma City-Shawnee, OK",2009,2.1,1.38,2.09,2.07,3.41,1.54
"Orlando-Deltona-Daytona Beach, FL",2009,2.21,2.09,1.73,2.98,2.83,1.44
"Philadelphia-Camden-Vineland, PA-NJ-DE-MD",2009,2.13,1.89,2.6,2.2,2.2,1.77
"Phoenix-Mesa-Glendale, AZ",2009,2.06,1.62,1.93,2.9,2.13,1.74
"Pittsburgh-New Castle, PA",2009,1.93,1.5,2.36,2.05,1.92,1.81
"Portland-Vancouver-Hillsboro, OR-WA",2009,2.51,2.02,2.24,2.86,3.61,1.82
"Raleigh-Durham-Cary, NC",2009,2.72,1.96,3.27,3.03,3.37,1.97
"Richmond, VA",2009,2.31,1.6,2.22,2.96,2.89,1.87
"Rochester-Batavia-Seneca Falls, NY",2009,2.59,1.18,3.44,2.66,3.4,2.27
"Sacramento-Arden-Arcade-Yuba City, CA-NV",2009,2.33,1.31,2.36,3.19,2.84,1.97
"Salt Lake City-Ogden-Clearfield, UT",2009,2.61,1.99,2.21,3.64,3.33,1.87
"San Antonio-New Braunfels, TX",2009,2.13,1.8,2.01,2.32,2.9,1.63
"San Diego-Carlsbad-San Marcos, CA",2009,2.28,1.8,2.38,2.75,2.6,1.91
"San Jose-San Francisco-Oakland, CA",2009,2.51,2.31,2.78,2.33,3.44,1.68
"Seattle-Tacoma-Olympia, WA",2009,2.77,3.14,2.72,2.99,3.21,1.76
"St. Louis-St. Charles-Farmington, MO-IL",2009,2.12,1.35,2.28,2.64,2.58,1.74
"Tampa-St. Petersburg-Clearwater, FL",2009,1.95,1.56,1.59,2.47,2.5,1.65
"Virginia Beach-Norfolk-Newport News, VA-NC",2009,2.25,1.46,2.03,3.55,2.58,1.64
"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV",2009,3.12,2.09,4.09,3.84,3.15,2.44
"Albany-Schenectady-Amsterdam, NY",2010,2.68,1.44,3.36,2.93,3.5,2.15
"Atlanta-Sandy Springs-Gainesville, GA-AL",2010,2.12,1.61,2.51,2.76,2.23,1.49
"Austin-Round Rock-Marble Falls, TX",2010,2.59,2.59,2.97,2.57,3.15,1.66
"Birmingham-Hoover-Cullman, AL",2010,1.83,1.31,1.95,1.88,2.43,1.59
"Boston-Worcester-Manchester, MA-RI-NH",2010,2.67,2.37,3.46,2.05,3.52,1.97
"Buffalo-Niagara-Cattaraugus, NY",2010,2.21,1.06,3.06,2.1,2.75,2.07
"Charlotte-Gastonia-Salisbury, NC-SC",2010,2.23,1.7,2.51,2.33,2.98,1.63
"Chicago-Naperville-Michigan City, IL-IN-WI",2010,2.31,1.77,2.99,2.5,2.45,1.86
"Cincinnati-Middletown-Wilmington, OH-KY-IN",2010,2.06,1.42,2.21,2.36,2.68,1.63
"Cleveland-Akron-Elyria, OH",2010,1.82,1.2,2.14,1.95,2.07,1.76
"Columbus-Marion-Chillicothe, OH",2010,2.09,1.3,2.52,2.32,2.73,1.6
"Dallas-Fort Worth, TX",2010,2.24,2.19,2.47,2.52,2.49,1.53
"Dayton-Springfield-Greenville, OH",2010,2.01,0.69,1.9,2.61,2.98,1.85
"Denver-Aurora-Boulder, CO",2010,2.31,1.96,2.3,2.51,3.09,1.69
"Detroit-Warren-Flint, MI",2010,1.83,1.36,2.03,2.36,1.84,1.58
"Fresno-Madera, CA",2010,1.67,0.94,1.63,1.94,1.66,2.17
"Grand Rapids-Muskegon-Holland, MI",2010,2.34,1.02,2.33,2.79,3.65,1.91
"Greensboro-Winston-Salem-High Point, NC",2010,1.93,1.09,2.09,2.14,2.54,1.79
"Greenville-Spartanburg-Anderson, SC",2010,1.73,1.22,1.72,2.01,2.4,1.28
"Hartford-West Hartford-Willimantic, CT",2010,2.64,2.05,3.31,2.75,3.3,1.79
"Houston-Baytown-Huntsville, TX",2010,2.23,3.1,2.36,2.32,1.98,1.4
"Indianapolis-Anderson-Columbus, IN",2010,2.08,1.88,2.11,2.37,2.47,1.56
"Jacksonville, FL",2010,2.24,1.9,1.95,2.77,2.81,1.78
"Kansas City-Overland Park-Kansas City, MO-KS",2010,2.28,1.66,2.53,2.94,2.42,1.83
