"OBJECTID","FIPS","FIPS_1","EDU1","EDU1_Z","EDU2","EDU2_Z","EDU3","EDU3_Z","EDU4","EDU4_Z","EDU5","EDU5_Z","EDU6","EDU5_Z1","EDU6_Z","EDU7","EDU7_Z","EDU_COMP","EDU_RANK","EE1","EE1_Z","EE2","EE2_Z","EE3","EE3_Z","EE4","EE4_Z","EE_COMP","EE_RANK","N1","N1_Z","N2","N2_Z","N3","N3_Z","N4","N4_Z","N5","N5_Z","N6","N6_Z","N_COMP","N_RANK","COMP","COMP_RANK","COMP_OPP"
1053,26099260400,,0,1.043697,8.823529,-0.310703,7.058824,0.463899,56.932515,0.047192,67.077672,0.278082,41.772779,0.278082,0.284678,49.114154,0.023348,0.261456,3,1.517615,0.615605,58317,0.162982,8.862559,0.667161,-26.801789,-0.643771,0.200494,3,6.154629,0.608383,138600,-0.057078,83.631436,0.60537,4.556734,0.83346,-0.850089,-0.026619,2.186335,0.141432,0.350824,4,0.270925,4,"High"
1054,26099260700,,26.575809,-0.125003,0,0.608952,5.691057,0.573727,56.737589,0.03571,67.077672,0.278082,41.772779,0.278082,0.284678,49.114154,0.023348,0.239928,3,1.862828,0.540364,53087,-0.030456,16.31644,-0.056693,-25.752667,-0.554174,-0.025239,2,5.36859,0.676196,132500,-0.130643,77.053345,0.299746,14.785,0.190759,0.935496,-0.025496,3.418182,0.108827,0.186565,3,0.133751,3,"Moderate"
1055,26099260800,,10.157618,0.597005,0,0.608952,1.976285,0.872016,48.624805,-0.442166,67.077672,0.278082,41.772779,0.278082,0.284678,49.114154,0.023348,0.317416,4,6.012024,-0.363968,62713,0.325573,12.076271,0.355074,-22.675767,-0.2914,0.00632,3,2.823759,0.895743,149800,0.077992,97.094188,1.23086,6.846847,0.689559,3.350439,-0.023977,4.02439,0.092781,0.493826,5,0.272521,4,"High"
1056,26099261000,,7.628524,0.708224,0,0.608952,0,1.030708,59.029398,0.170707,67.077672,0.278082,41.772779,0.278082,0.284678,49.114154,0.023348,0.443529,4,1.864407,0.54002,62500,0.317695,10.334572,0.524212,-30.993553,-1.001757,0.095043,3,8.739366,0.385392,144200,0.010457,84.745763,0.657142,6.209705,0.729594,31.032163,-0.006567,3.456455,0.107814,0.313972,4,0.284181,4,"High"
1057,26099261100,,36.721992,-0.571193,0,0.608952,10.11236,0.218706,54.29285,-0.108295,67.077672,0.278082,41.772779,0.278082,0.284678,49.114154,0.023348,0.104897,3,6.379822,-0.444131,42945,-0.405569,15.612734,0.011645,-14.974296,0.366323,-0.117933,2,12.353706,0.073576,128000,-0.184913,71.810089,0.056141,18.7678,-0.059504,1.928615,-0.024871,1.909959,0.148747,0.001529,3,-0.003836,3,"Moderate"
1058,26099261200,,2.027027,0.954557,0,0.608952,34.507042,-1.74014,45.450169,-0.629165,67.077672,0.278082,41.772779,0.278082,0.284678,49.114154,0.023348,-0.031384,3,4.587156,-0.053413,52917,-0.036743,7.991803,0.75172,-14.826531,0.378943,0.260127,4,0,1.139355,133500,-0.118583,86.822352,0.753622,8.857645,0.563209,-1.377286,-0.02695,4.90381,0.069505,0.396693,4,0.208479,3,"Moderate"
1059,26099261400,,8.289242,0.679169,15.822785,-1.04022,15.189873,-0.189008,62.677485,0.385595,60.327451,-0.12282,30.295192,-0.12282,-0.292978,49.035322,0.026508,-0.079108,3,2.634146,0.372253,59724,0.215022,8.488613,0.703475,-15.369217,0.332596,0.405836,4,6.478102,0.580476,142300,-0.012457,100,1.365866,5.605462,0.767562,-8.029166,-0.031134,4.703329,0.074811,0.457521,4,0.261416,3,"Moderate"
1060,26099261500,,47.991543,-1.06678,0.440529,0.563037,13.656388,-0.065872,46.653846,-0.558264,60.327451,-0.12282,30.295192,-0.12282,-0.292978,49.035322,0.026508,-0.216739,2,3.870162,0.102859,38924,-0.554291,12.457143,0.318087,-16.081221,0.271789,0.034611,3,5.875441,0.632469,107200,-0.435758,71.098627,0.023086,22.0575,-0.266215,-2.780462,-0.027833,4.21123,0.087836,0.002264,3,-0.059954,2,"Low"
1061,26099261700,,0,1.043697,16.831683,-1.14537,0.990099,0.951205,48.219498,-0.46604,60.327451,-0.12282,30.295192,-0.12282,-0.292978,49.035322,0.026508,-0.000828,3,0.938967,0.741723,42064,-0.438154,9.567388,0.598714,-16.086108,0.271372,0.293414,4,6.414763,0.58594,116400,-0.324807,50.704225,-0.924454,12.3779,0.342011,-0.587493,-0.026454,6.366048,0.030802,-0.052827,2,0.07992,3,"Moderate"
1062,26099261800,,8.430233,0.672968,0,0.608952,0,1.030708,42.253521,-0.817461,60.327451,-0.12282,30.295192,-0.12282,-0.292978,49.035322,0.026508,0.157982,3,1.649306,0.586902,61875,0.294579,16.861666,-0.10964,-18.868527,0.033747,0.201397,3,2.372881,0.934641,129100,-0.171647,92.96875,1.039189,8.354994,0.594793,-5.119225,-0.029304,4.928282,0.068857,0.406088,4,0.255156,3,"Moderate"
