OBJECTID,FIPS,NAMELSAD10,Childhood Poverty,High School Dropout Rate,"Persons 16-19 No HS Diploma, Unemployed",High school Completion,"Reading, School proficiency rates of three nearest in-district primary schools","Math, School proficiency rates of three nearest in-district primary schools",Percent of students receiving free or reduced price lunches,Percent of households receiving a form of public assistance,Median Household Income,Unemployment Rate,Change in jobs within a 5 mile radius,Vacant Property,Property Values,Homeownership rates,Poverty Rates,Percent change in population from 2000-2010.,Kirwan Opportunity Index,Kirwan Opportunity Index Ordinal Categories
609,26099225300,Census Tract 2253,18.798151,6.857143,0,70.299475,76.362031,51.507082,23.328849,1.259843,61861,10.320452,-18.852858,6.571849,191300,64.094488,11.7162,19.257743,0.426664,High
610,26099225400,Census Tract 2254,4.691517,0.189394,14.015152,72.079325,76.362031,51.507082,23.328849,1.890222,88580,10.267969,-29.244136,2.962963,251900,93.311523,6.265492,13.211599,0.590232,Very High
611,26099225600,Census Tract 2256,15.500945,0,18.699187,56.586207,76.362031,51.507082,23.328849,4.665203,49280,12.167886,-22.734783,7.746835,120100,68.05708,10.9372,-4.549142,0.173201,Moderate
612,26099225701,Census Tract 2257.01,36.768448,9.51087,7.336957,59.070329,76.362031,51.507082,23.328849,1.446001,43323,12.081464,-20.284369,17.579143,173400,20.741075,21.0631,60.40816,0.023556,Moderate
613,26099225702,Census Tract 2257.02,2.586207,0,21.100917,49.150943,76.362031,51.507082,23.328849,1.519757,53382,11.01993,-20.70119,7.45429,142200,91.033435,4.858831,-56.266028,0.347732,High
614,26099225800,Census Tract 2258,14.253898,4.745763,18.644068,59.787968,76.362031,51.507082,23.328849,0.606586,60543,15.260152,-36.699049,6.709782,176900,81.802426,10.8789,26.031174,0.225312,Moderate
615,26125120000,Census Tract 1200,3.442341,1.333333,0,56.147935,70.912531,28.720792,25.668743,3.940455,75278,16.463415,-28.368629,4.674457,252800,94.921191,3.844868,-4.239181,0.403211,High
616,26125120300,Census Tract 1203,7.017544,0,25.306122,68.193493,71.973585,55.9984,24.159932,3.379549,95909,15.256065,-24.815187,6.407137,274700,88.47487,5.926594,1.44407,0.501514,High
617,26125121000,Census Tract 1210,34.74026,18.43318,14.746544,56.841589,71.973585,55.9984,24.159932,1.860053,54159,15.393795,-23.634185,7.154605,60000,91.585474,18.6441,42.252207,0.083231,Moderate
618,26125121500,Census Tract 1215,14.109742,0,22.516556,62.043796,71.973585,55.9984,24.159932,2.112163,57780,17.321998,-16.30497,8.466667,150600,68.02622,14.9579,-2.60008,0.245273,Moderate
619,26125121700,Census Tract 1217,0,9.285714,12.5,69.798068,71.973585,55.9984,24.159932,2.272727,85238,8.997722,-21.891152,9.118388,187500,87.084257,2.748331,1.824569,0.518698,High
620,26125122200,Census Tract 1222,6.498195,0,11.956522,66.158537,80.387629,39.148454,36.432237,0,79135,8.337373,-29.498572,6.290323,206800,94.234079,4.431487,6.350024,0.515068,High
621,26125122400,Census Tract 1224,23.20888,0,13.111111,63.632064,80.387629,39.148454,36.432237,2.747253,58146,13.066298,-19.336645,8.009331,161500,95.646661,14.6621,4.201968,0.318244,High
