id,geoid,metro,region,lat,lon,year,oned_index,economy_index,education_index,equity_index,quality_of_life_index,transit_index,econ_exports,econ_gmp,econ_hightech,econ_kiemploy,econ_pcpi,econ_techpatents,econ_biztaxindex,edu_pctbachhigher2534,edu_pctbachhigher,edu_enrolled,edu_hsdiploma,edu_unemployednohs,edu_ppstatebudget,edu_ppspending,qol_aqi,qol_popchange,qol_popwohealthins,qol_vcrimert,qol_vthourspc,qol_obese,equity_fbpop,equity_gini,equity_incshareq1,equity_incshareq2,equity_incshareq3,equity_incshareq4,equity_incshareq5,equity_incsharetop5,equity_medhhincblack,equity_medhhinchisp,equity_medhhincwhite,equity_medhhinctotal,equity_childpovrtblack,equity_childpovrthisp,equity_childpovrtwhite,equity_childpovrttotal,equity_homeownershipblack,equity_homeownershiphisp,equity_homeownershipwhite,equity_homeownershiptotal,transit_hoursdelayedpc,transit_caralone,transit_novehicle,transit_bustrips,transit_statefunding
21,21,"Houston-Baytown-Huntsville, TX",Southeast,29.95192650,-95.54091698,2009,2.22,2.86,2.23,2.1,2.53,1.39,65820898833.0,64441,0.2244,0.1347,46171.72,2.83,6.02,0.2681,0.2827,0.2333,0.7949,0.0085,7004.00,8722.00,0.2986,0.0264,0,706.80,0.248,0.356,0.2149,0.479,0.033,0.084,0.142,0.226,0.514,0.231,40299,42372,78938,58532,0.3078,0.3002,0.0725,0.2134,0.4529,0.5257,0.733,0.625,50,0.9066,0.0298,72937.85,1.16
22,22,"Indianapolis-Anderson-Columbus, IN",Midwest,39.76837950,-86.15804470,2009,1.98,1.7,1.99,2.42,2.27,1.52,8030895808.0,57002,0.0756,0.0796,39880.11,2.31,5.88,0.3516,0.3089,0.2138,0.8674,0.0195,5553.00,9352.00,0.2986,0.0125,0,627.90,0.292,0.341,0.0539,0.451,0.037,0.093,0.151,0.23,0.489,0.216,33832,38372,61858,56310,0.3454,0.326,0.1136,0.1706,0.4288,0.4047,0.7382,0.6794,42,0.9271,0.0193,8199.81,8.59
23,23,"Jacksonville, FL",Southeast,30.33218380,-81.65565100,2009,2.19,1.71,1.91,2.88,2.68,1.74,1634426129.0,42243,0.1463,0.103,40692.69,0.64,6.92,0.2682,0.2593,0.204,0.8712,0.0133,6324.00,8784.00,0.663,0.0093,0,695.70,0.241,0.389,0.0749,0.446,0.038,0.096,0.153,0.229,0.485,0.216,37866,48828,62551,55866,0.3156,0.2171,0.105,0.169,0.4876,0.5485,0.7444,0.6776,31,0.9162,0.0272,10253.89,9.74
24,24,"Kansas City-Overland Park-Kansas City, MO-KS",Midwest,39.08446870,-94.56302980,2009,2.3,1.6,2.47,2.93,2.62,1.91,5888851280.0,51750,0.1121,0.0539,43720.84,1.84,5.57,0.3614,0.3202,0.2085,0.8905,0.0134,6682.00,9688.00,0.3973,0.0106,0,535.90,0.29,0.384,0.0591,0.436,0.039,0.096,0.156,0.235,0.474,0.201,34010,41931,64533,59150,0.3603,0.2986,0.0878,0.1518,0.4316,0.5179,0.737,0.686,24,0.9185,0.0199,15474.36,1.15
25,25,"Knoxville-Sevierville-La Follette, TN",Southeast,35.96039480,-83.92102610,2009,1.76,1.44,2.26,1.73,1.74,1.61,1887460998.0,38434,0.307,0.1393,32485.52,1.74,5.42,0.342,0.2824,0.1988,0.8574,0.009,7435.00,7836.00,0.4575,0,0,494.40,0,0,0.0325,0.468,0.033,0.088,0.148,0.229,0.502,0.223,26936,39363,50494,48585,0.5492,0.4195,0.1407,0.1907,0.4218,0.4356,0.7281,0.7006,37,0.9363,0.0157,3455.00,5.59
26,26,"Las Vegas-Paradise-Pahrump, NV",Southwest,36.14520400,-115.16118060,2009,2.17,2.49,1.31,3.43,2.23,1.37,1022713786.0,44625,0.5391,0.2659,37419.23,0.77,7.37,0.2079,0.2166,0.2004,0.8218,0.0236,8431.00,8320.00,0.4849,0.0141,0,810.90,0.183,0.367,0.2192,0.429,0.042,0.1,0.156,0.23,0.472,0.205,44221,50056,66387,59708,0.278,0.2255,0.081,0.1593,0.3503,0.4704,0.6469,0.5762,50,0.8972,0.0377,66100.24,0.00
27,27,"Los Angeles-Long Beach-Riverside, CA",Southwest,34.05367810,-118.24270250,2009,1.93,1.77,2.07,2,2,1.79,51528365660.0,58554,0.0378,0.0217,45076.42,3.02,4.00,0.317,0.3029,0.2136,0.778,0.009,6574.00,9058.00,0.0932,0.0064,0,482.70,0.219,0.39,0.3439,0.485,0.032,0.083,0.141,0.224,0.52,0.24,45337,49601,80511,63557,0.2774,0.2683,0.0628,0.2013,0.3611,0.4038,0.6112,0.5089,60,0.8452,0.0415,589290.43,41.44
28,28,"Louisville-Jefferson County-Elizabethtown-Scottsburg, KY-IN",Southeast,38.25423760,-85.75940700,2009,1.9,1.37,1.85,2.24,2.37,1.66,5316140761.0,0,0.1475,0.1041,38995.48,0.77,4.95,0.2981,0.2431,0.1999,0.859,0.017,7125.00,9496.00,0.2822,0.0091,0,370.40,0.263,0.354,0.0399,0.452,0.036,0.092,0.152,0.232,0.488,0.214,30054,39425,54745,50891,0.4386,0.384,0.1209,0.1925,0.4039,0.3822,0.7532,0.6956,33,0.9223,0.0305,15520.76,0.37
29,29,"Memphis, TN-MS-AR",Southeast,35.14902150,-90.05162850,2009,1.63,1.49,1.94,1.65,1.54,1.51,8442864810.0,46810,0.2023,0.0556,38724.40,1.43,5.42,0.261,0.2463,0.2256,0.8317,0.015,7435.00,7836.00,0.4849,0.0053,0,1146.90,0.273,0.28,0.0468,0.482,0.031,0.084,0.144,0.226,0.515,0.234,33223,38452,64266,48363,0.4412,0.3424,0.0945,0.2914,0.5051,0.4298,0.7711,0.6442,39,0.9318,0.0303,10358.21,5.59
30,30,"Miami-Fort Lauderdale-Pompano Beach, FL",Southeast,25.77426580,-80.19365890,2009,1.92,1.98,1.77,1.97,2.33,1.54,31174986589.0,45043,0.0988,0.0375,43342.26,1.32,6.92,0.2978,0.2864,0.1892,0.8229,0.0119,6324.00,8784.00,0.674,0.0092,0,797.50,0.148,0.383,0.3675,0.496,0.031,0.081,0.137,0.219,0.531,0.252,39981,45282,61832,51601,0.3186,0.204,0.077,0.1918,0.4999,0.5778,0.7658,0.6552,47,0.8821,0.0372,125101.70,9.74
