id,geoid,metro,region,lat,lon,year,oned_index,economy_index,education_index,equity_index,quality_of_life_index,transit_index,econ_exports,econ_gmp,econ_hightech,econ_kiemploy,econ_pcpi,econ_techpatents,econ_biztaxindex,edu_pctbachhigher2534,edu_pctbachhigher,edu_enrolled,edu_hsdiploma,edu_unemployednohs,edu_ppstatebudget,edu_ppspending,qol_aqi,qol_popchange,qol_popwohealthins,qol_vcrimert,qol_vthourspc,qol_obese,equity_fbpop,equity_gini,equity_incshareq1,equity_incshareq2,equity_incshareq3,equity_incshareq4,equity_incshareq5,equity_incsharetop5,equity_medhhincblack,equity_medhhinchisp,equity_medhhincwhite,equity_medhhinctotal,equity_childpovrtblack,equity_childpovrthisp,equity_childpovrtwhite,equity_childpovrttotal,equity_homeownershipblack,equity_homeownershiphisp,equity_homeownershipwhite,equity_homeownershiptotal,transit_hoursdelayedpc,transit_caralone,transit_novehicle,transit_bustrips,transit_statefunding
91,37,"Orlando-Deltona-Daytona Beach, FL",Southeast,28.54211750,-81.37904620,2010,2.13,2.14,1.9,2.98,2.09,1.55,3453604914.0,47023,0.1054,0.1805,36219.09,1.43,6.62,0.289,0.2726,0.1997,0.8706,0.0149,5734.00,8597.00,0.6932,0.0131,0.2093,613.70,0.193,0.343,0.1617,0.449,0.039,0.094,0.149,0.227,0.49,0.213,38080,41841,58661,51000,0.3018,0.2494,0.0973,0.1849,0.469,0.5312,0.7344,0.6536,44,0.9061,0.0235,24780.70,9.87
92,38,"Philadelphia-Camden-Vineland, PA-NJ-DE-MD",Northeast,39.95233500,-75.16378900,2010,2.19,1.96,2.65,2.16,2.37,1.81,22710013702.0,58696,-0.023,0.0319,49301.46,3.54,5.03,0.3961,0.3269,0.2005,0.8769,0.0087,5326.00,13023.00,0.3096,0.0051,0.0984,551.80,0.23,0.399,0.0947,0.470,0.03,0.086,0.149,0.234,0.5,0.218,38008,39532,74491,63197,0.3269,0.3306,0.0608,0.1616,0.5037,0.4729,0.7683,0.6913,48,0.8172,0.063,187333.13,96.76
93,39,"Phoenix-Mesa-Glendale, AZ",Southwest,33.36116800,-112.12130217,2010,2.09,1.72,2.01,2.81,2.16,1.76,9342732987.0,43156,0.036,0.1751,37283.67,3.22,5.01,0.2613,0.2779,0.2106,0.847,0.0123,6439.00,8255.00,0.1726,0.0134,0.1708,370.80,0.247,0.36,0.149,0.450,0.037,0.094,0.151,0.231,0.487,0.212,42761,42193,61936,55688,0.3095,0.3252,0.0986,0.2124,0.376,0.5274,0.7262,0.6599,35,0.8836,0.0305,54315.80,0.00
94,40,"Pittsburgh-New Castle, PA",Midwest,40.44169410,-79.99008610,2010,2.08,1.61,2.45,2.09,2.38,1.86,12160690152.0,48710,-0.0309,0.0319,44881.51,3.14,5.03,0.4057,0.2872,0.1728,0.9081,0.0076,5326.00,13023.00,0.2493,0.0006,0.0816,319.50,0.283,0.35,0.0316,0.462,0.035,0.087,0.148,0.231,0.498,0.219,26722,44707,52592,50052,0.4609,0.2131,0.1181,0.17,0.3659,0.4827,0.7479,0.7078,39,0.8611,0.0421,57697.05,96.76
95,41,"Portland-Vancouver-Hillsboro, OR-WA",West,45.52024710,-122.67419490,2010,2.58,2.15,2.23,2.83,3.85,1.84,18544873728.0,63025,-0.0001,0.0543,41460.11,7.93,5.59,0.348,0.3364,0.1951,0.8934,0.0131,4668.00,9911.00,0.8164,0.0118,0.1442,,0.317,0.403,0.1255,0.439,0.038,0.096,0.155,0.234,0.477,0.202,34098,41680,60973,58545,0.4028,0.3218,0.1134,0.1635,0.3369,0.3828,0.6573,0.6246,43,0.8098,0.0354,67114.76,28.42
96,42,"Raleigh-Durham-Cary, NC",Southeast,35.78040150,-78.63907790,2010,2.69,2.1,3.22,3.07,3.08,1.96,1912390725.0,51820,0.0843,0.1393,41238.07,11.34,4.66,0.443,0.4168,0.2172,0.8915,0.0121,8413.00,8199.00,0.5288,0.0246,0.1413,242.60,0.233,0.371,0.1181,0.441,0.039,0.094,0.153,0.234,0.48,0.2,42197,36833,72779,62837,0.248,0.3872,0.0615,0.1503,0.4839,0.4003,0.7595,0.677,23,0.9039,0.0193,2260.28,7.96
97,43,"Richmond, VA",Southeast,37.54123900,-77.44201830,2010,2.2,1.67,2.18,2.89,2.41,1.83,4606486185.0,50977,0.0028,0.0813,39095.35,2.06,5.53,0.3467,0.3103,0.1934,0.8509,0.0092,5065.00,10894.00,0.5671,0.0079,0.1274,269.30,0.209,0.328,0.0678,0.448,0.037,0.094,0.151,0.232,0.486,0.21,42277,42417,70519,59587,0.286,0.2888,0.0603,0.1561,0.5238,0.4008,0.7825,0.6894,29,0.9082,0.0273,14158.47,23.91
98,44,"Rochester-Batavia-Seneca Falls, NY",Northeast,43.15728510,-77.61521410,2010,2.68,1.27,3.34,2.68,3.92,2.19,5116404222.0,44825,-0.0434,-0.0209,39509.68,12.10,3.66,0.3822,0.3228,0.1935,0.8833,0.0054,8357.00,19371.00,0.8,0,0.0756,317.10,0.367,0.374,0.0691,0.440,0.037,0.094,0.156,0.237,0.476,0.2,27722,32924,58964,54131,0.4621,0.3838,0.0894,0.1823,0.361,0.4042,0.752,0.6923,28,0.8986,0.04,17058.93,225.48
99,45,"Sacramento-Arden-Arcade-Yuba City, CA-NV",West,38.47322590,-121.29807070,2010,2.3,1.29,2.29,3.19,2.82,1.94,4070468342.0,43905,0.0016,0.0793,41566.45,2.24,3.89,0.2948,0.297,0.2103,0.8676,0.0092,5932.00,9229.00,0.5671,0.0104,0.1214,478.10,0.228,0.409,0.1734,0.433,0.038,0.095,0.157,0.24,0.47,0.189,41618,48421,67297,61824,0.3256,0.2712,0.0975,0.1836,0.3619,0.4701,0.6794,0.616,32,0.8692,0.0239,21295.54,46.83
100,46,"Salt Lake City-Ogden-Clearfield, UT",West,40.76064670,-111.89109000,2010,2.56,2.09,2.15,3.48,3.22,1.88,10719243593.0,57790,0.0696,0.1409,38897.87,1.58,5.80,0.2903,0.2972,0.2373,0.8791,0.0181,5678.00,6358.00,0.5507,0.0165,0.1607,355.50,0.302,0.418,0.1153,0.424,0.042,0.101,0.158,0.232,0.467,0.201,36076,44077,65044,60995,0.3565,0.2609,0.0854,0.133,0.2736,0.4995,0.7265,0.6831,30,0.8815,0.0199,21716.86,0.00
101,47,"San Antonio-New Braunfels, TX",Southwest,29.42460020,-98.49514050,2010,2.23,1.95,2.12,2.56,2.9,1.64,6416227273.0,37202,0.1166,0.1893,37062.31,2.84,5.70,0.2516,0.2526,0.226,0.8203,0.0133,7622.00,9002.00,0.6822,0.0225,0.1986,484.00,0.298,0.367,0.1164,0.459,0.033,0.09,0.151,0.234,0.492,0.211,43226,41891,65449,51697,0.3374,0.2898,0.085,0.2328,0.4893,0.5988,0.726,0.6467,37,0.9089,0.0304,41323.06,1.16
102,48,"San Diego-Carlsbad-San Marcos, CA",Southwest,32.74698690,-117.21177000,2010,2.34,2.05,2.39,2.72,2.66,1.89,16464280268.0,55921,0.0096,0.0608,47334.91,14.21,3.89,0.3477,0.341,0.195,0.8554,0.0068,5932.00,9229.00,0.2986,0.014,0.1728,378.50,0,0.412,0.2319,0.454,0.035,0.091,0.151,0.234,0.489,0.207,50667,47643,73488,64704,0.2677,0.2555,0.086,0.1738,0.3151,0.4171,0.6223,0.55,37,0.8585,0.0268,59705.21,46.83
103,49,"San Jose-San Francisco-Oakland, CA",West,37.34385020,-121.88313490,2010,2.6,2.56,2.71,2.34,3.67,1.71,21355417046.0,89806,-0.1063,-0.0918,61623.88,20.53,3.89,0.4847,0.4355,0.1779,0.8698,0.0101,5932.00,9229.00,0.6986,0.0098,0.1176,0,0,0.448,0.2996,0.474,0.03,0.085,0.147,0.232,0.505,0.22,43568,59547,92507,78746,0.3005,0.193,0.0525,0.1251,0.3453,0.4285,0.618,0.5504,60,0.7214,0.0681,177021.62,46.83
104,50,"Seattle-Tacoma-Olympia, WA",West,47.60383210,-122.33006240,2010,2.86,3.23,2.72,3.07,3.51,1.78,35409613553.0,71404,0.0248,0.0751,51239.67,22.27,5.81,0.3901,0.3696,0.1871,0.9033,0.0063,6105.00,9700.00,0.7288,0.01,0.1218,353.00,0.322,0.423,0.1643,0.439,0.037,0.096,0.156,0.234,0.477,0.203,42282,49487,71912,68233,0.325,0.2673,0.0809,0.1326,0.3443,0.3897,0.6598,0.615,47,0.8082,0.0337,126658.80,8.60
105,51,"St. Louis-St. Charles-Farmington, MO-IL",Midwest,38.62727330,-90.19788890,2010,2.1,1.48,2.41,2.54,2.29,1.76,11239450002.0,47876,-0.0599,0.0024,43294.05,2.12,5.37,0.3591,0.2958,0.2044,0.882,0.0111,6161.00,9717.00,0.1205,0.0038,0.1034,497.40,0.321,0.362,0.0425,0.452,0.035,0.091,0.152,0.235,0.487,0.21,32395,44519,61553,55055,0.3943,0.2742,0.1005,0.1783,0.4445,0.5443,0.7786,0.7093,31,0.9089,0.0277,26258.27,1.05
106,52,"Tampa-St. Petersburg-Clearwater, FL",Southeast,27.94775950,-82.45844400,2010,1.87,1.57,1.58,2.46,2.07,1.67,6633590623.0,39066,-0.0657,0.0481,40040.68,1.70,6.62,0.2779,0.2554,0.1769,0.8633,0.0152,5734.00,8597.00,0.4849,0.009,0.1858,500.00,0.212,0.355,0.1217,0.461,0.037,0.091,0.147,0.226,0.5,0.221,34844,40399,50848,47478,0.3801,0.2779,0.1258,0.2043,0.4203,0.543,0.7411,0.6821,38,0.8979,0.0274,26256.80,9.87
107,53,"Virginia Beach-Norfolk-Newport News, VA-NC",Southeast,36.85298410,-75.97741830,2010,2.38,1.54,2.09,3.71,3,1.57,2450729675.0,48395,0.0106,0.0681,37422.07,0.97,5.53,0.2692,0.2769,0.1991,0.8904,0.0113,5065.00,10894.00,0.6301,0.0072,0.1154,336.90,0.288,0.378,0.062,0.422,0.041,0.101,0.16,0.237,0.462,0.192,42877,57774,69834,60276,0.3025,0.1532,0.0695,0.1625,0.467,0.4658,0.7285,0.6368,43,0.9014,0.029,15048.11,23.91
108,54,"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV",Northeast,38.89511480,-77.03637160,2010,3.18,2.2,4.15,3.88,3.24,2.44,11082879124.0,76035,0.05,0.1112,41363.90,3.20,0,0.4992,0.4688,0.1989,0.8906,0.0079,0,20460.00,0.4411,0.0212,0.1174,380.00,0.321,0.378,0.2135,0.435,0.038,0.097,0.156,0.234,0.474,0.2,64612,66005,107668,89745,0.1838,0.125,0.0385,0.0974,0.5148,0.5126,0.7382,0.6516,66,0.7661,0.0579,181877.27,542.19
109,1,"Albany-Schenectady-Amsterdam, NY",Northeast,42.65116740,-73.75496800,2011,2.47,1.03,3.42,2.91,2.81,2.16,3525061256.0,48643,0,0,44580.54,8.19,3.59,0.4188,0.3349,0.1782,0.9103,0.009,8686.00,19883.00,0.7233,0,0.0774,282.60,0.247,0,0.0675,0.432,0.037,0.096,0.159,0.242,0.467,0.188,29472,39209,63627,59970,0.3923,0.3633,0.0858,0.1521,0.2518,0.3831,0.7063,0.6576,31,0.882,0.047,13566.58,0
110,2,"Atlanta-Sandy Springs-Gainesville, GA-AL",Southeast,33.74909870,-84.39018490,2011,2.21,1.16,2.61,2.5,2.93,1.83,17229096733.0,51785,0,0,40529.44,3.18,4.83,0.3542,0.3439,0.2233,0.8645,0.0157,6789.00,8997.00,0.3342,0.0132,0.194,400.90,0.282,0.397,0.135,0.463,0.033,0.09,0.148,0.231,0.498,0.214,42466,37377,69296,56408,0.2837,0.392,0.093,0.2051,0.5124,0.4248,0.7834,0.6639,51,0.8811,0.0317,69855.83,0
111,3,"Austin-Round Rock-Marble Falls, TX",Southwest,30.27112860,-97.74369950,2011,2.65,1.97,2.92,2.54,3.77,2.07,8626302975.0,50755,0,0,41345.85,14.21,6.12,0.3978,0.3989,0.204,0.8729,0.0071,6721.00,8903.00,0.6521,0.0307,0.194,287.10,0.317,0.406,0.1465,0.460,0.034,0.091,0.149,0.231,0.496,0.215,39072,42464,69330,59019,0.2915,0.3231,0.0558,0.1929,0.4073,0.4553,0.6494,0.5773,44,0.8617,0.0252,33486.97,0
112,4,"Birmingham-Hoover-Cullman, AL",Southeast,33.52068240,-86.80243260,2011,1.91,0.98,2.01,1.78,2.77,1.99,2383254089.0,47568,0,0,41644.36,0.76,5.28,0.315,0.2709,0.1984,0.8477,0.01,5315.00,8497.00,0.3288,0.003,0.1287,524.20,0.303,0.352,0.0429,0.477,0.033,0.085,0.143,0.229,0.511,0.229,32632,38948,55965,47608,0.3869,0.4524,0.1227,0.2303,0.5241,0.362,0.798,0.7072,35,0.9471,0.0206,2430.14,0
113,5,"Boston-Worcester-Manchester, MA-RI-NH",Northeast,42.36048230,-71.05956780,2011,2.71,2.59,3.46,1.97,3.54,2,22292835422.0,72950,0,0,58917.72,9.95,5.12,0.541,0.4268,0.1843,0.9039,0.008,6742.00,14416.00,0.5205,0.0087,0.0476,374.70,0.272,0.417,0.1667,0.474,0.029,0.086,0.149,0.234,0.503,0.222,42979,39155,78013,71892,0.294,0.3453,0.0611,0.122,0.3254,0.2567,0.6869,0.6192,53,0.7671,0.068,116981.50,0
114,6,"Buffalo-Niagara-Cattaraugus, NY",Northeast,42.88644680,-78.87836890,2011,2.13,0.52,3.17,2.07,2.84,2.08,4179716862.0,42027,0,0,40887.25,2.26,3.59,0.3782,0.2854,0.1835,0.8908,0.0095,8686.00,19883.00,0.6082,-0.0001,0.0757,439.20,0.213,0.329,0.0597,0.454,0.034,0.088,0.153,0.24,0.486,0.2,24018,24445,53867,48871,0.5146,0.4257,0.1157,0.2126,0.3394,0.3145,0.7308,0.6638,33,0.897,0.0466,21229.71,0
115,7,"Charlotte-Gastonia-Salisbury, NC-SC",Southeast,35.22708690,-80.84312680,2011,2.14,0.76,2.67,2.06,3.22,2.01,6253264614.0,53205,0,0,39229.36,1.60,4.08,0.3665,0.3256,0.217,0.8607,0.0163,8843.00,7831.00,0.4712,0.015,0.1645,428.10,0.302,0.392,0.1008,0.477,0.033,0.087,0.143,0.224,0.513,0.235,37424,38317,62609,52980,0.3238,0.3689,0.0993,0.2016,0.4803,0.4517,0.7644,0.668,40,0.9032,0.0255,22152.30,0
116,8,"Chicago-Naperville-Michigan City, IL-IN-WI",Midwest,41.87562080,-87.62437060,2011,2.51,1.86,3,2.39,3.07,2.25,39522438516.0,56165,0,0,46959.73,3.20,5.52,0.4035,0.3401,0.2123,0.8602,0.0103,7589.00,12586.00,0.1671,0.0025,0.1448,,0.247,0.371,0.1763,0.470,0.032,0.087,0.148,0.23,0.503,0.224,36793,46818,71905,60696,0.4022,0.2659,0.0681,0.1937,0.4164,0.5411,0.767,0.6649,51,0.7962,0.0578,342297.97,0
117,9,"Cincinnati-Middletown-Wilmington, OH-KY-IN",Midwest,39.10145370,-84.51246020,2011,2.15,1.15,2.29,2.3,2.95,2.05,18744231548.0,49592,0,0,41778.23,3.99,4.54,0.341,0.2927,0.207,0.8772,0.0129,4480.00,11541.00,0.4,0.0026,0.1145,294.50,0.269,0.363,0.0417,0.454,0.034,0.09,0.153,0.235,0.488,0.207,29951,37731,58616,54390,0.4782,0.3809,0.1262,0.1915,0.3538,0.4379,0.7439,0.6854,37,0.9126,0.0259,22394.77,0
118,10,"Cleveland-Akron-Elyria, OH",Midwest,41.48718880,-81.67786910,2011,1.99,1.16,2.19,1.88,2.53,2.2,11276112870.0,53555,0,0,43227.03,3.49,4.54,0.3297,0.2768,0.1982,0.876,0.011,4480.00,11541.00,0.274,-0.0037,0.1131,404.60,0.251,0.337,0.0588,0.470,0.032,0.087,0.147,0.232,0.502,0.22,27290,34260,56163,48109,0.4917,0.3881,0.118,0.2356,0.3927,0.4452,0.7582,0.6683,31,0.8985,0.0361,37539.63,0
119,11,"Columbus-Marion-Chillicothe, OH",Midwest,39.96226010,-83.00070650,2011,2.15,0.91,2.58,2.16,3.11,2,4327460203.0,51376,0,0,40519.55,2.42,4.54,0.3872,0.3301,0.204,0.8933,0.0105,4480.00,11541.00,0.5452,0.0099,0.1194,362.60,0.28,0.324,0.0697,0.458,0.033,0.09,0.151,0.235,0.491,0.209,32240,38861,59396,53732,0.4594,0.3394,0.1349,0.2113,0.3562,0.3419,0.6894,0.6256,40,0.9064,0.0254,18764.05,0
120,12,"Dallas-Fort Worth, TX",Southeast,32.78010520,-96.80000820,2011,2.33,1.86,2.43,2.59,2.85,1.9,26648739913.0,58359,0,0,44660.70,3.46,6.12,0.3045,0.3116,0.2274,0.8281,0.0116,6721.00,8903.00,0.4,0.018,0.2262,358.40,0.289,0.332,0.1751,0.462,0.036,0.089,0.147,0.23,0.498,0.218,40230,41024,71662,57714,0.3176,0.3269,0.0818,0.2138,0.418,0.5112,0.7139,0.6189,45,0.9149,0.0215,43611.26,0
121,13,"Dayton-Springfield-Greenville, OH",Midwest,39.75894780,-84.19160690,2011,2.17,0.66,2.14,2.35,3.38,2.32,2749220304.0,43509,0,0,37695.97,2.19,4.54,0.2783,0.2482,0.1923,0.8855,0.0061,4480.00,11541.00,0.6986,0,0.1152,290.10,0.275,0.29,0.0338,0.450,0.035,0.091,0.153,0.238,0.483,0.201,28713,43532,51339,46699,0.4585,0.3738,0.1718,0.2369,0.3996,0.4718,0.7083,0.6539,24,0.9142,0.029,6825.07,0
122,14,"Denver-Aurora-Boulder, CO",West,39.73915360,-104.98470340,2011,2.44,1.63,2.36,2.62,3.48,2.1,3771348698.0,59221,0,0,49999.12,2.92,5.51,0.3948,0.3832,0.2038,0.8832,0.0145,3774.00,8955.00,0.3644,0.0174,0.1538,354.80,0.322,0.439,0.1207,0.456,0.035,0.091,0.151,0.233,0.491,0.211,37773,42755,69656,61686,0.3795,0.3104,0.0699,0.1712,0.4032,0.4556,0.7056,0.6424,45,0.8555,0.0264,75954.77,0
123,15,"Detroit-Warren-Flint, MI",Midwest,42.34866350,-83.05673750,2011,2.04,1.68,2.09,2.23,2.28,1.93,49422750344.0,48080,0,0,40805.40,5.24,5.37,0.3022,0.2733,0.2058,0.8733,0.0159,5135.00,10977.00,0.4877,-0.0009,0.1273,1052.40,0.25,0.338,0.0871,0.463,0.032,0.087,0.15,0.237,0.494,0.208,31263,39985,58158,51231,0.4588,0.3641,0.1398,0.2415,0.47,0.597,0.7958,0.712,40,0.9293,0.0292,46275.69,0
124,16,"Fresno-Madera, CA",Southwest,36.72944550,-119.70886061,2011,1.55,0.01,1.77,2.11,1.23,2.61,2287998218.0,33949,0,0,32667.62,0.60,3.58,0.1808,0.1968,0.2449,0.7372,0.009,6596.00,9049.00,0.2082,0,0.2016,549.40,0.222,0,0.2218,0.463,0.034,0.085,0.148,0.236,0.497,0.207,27859,36680,60927,46720,0.4646,0.4303,0.1306,0.3503,0.3078,0.4293,0.6799,0.5457,15,0.8884,0.0331,15778.13,0
125,17,"Grand Rapids-Muskegon-Holland, MI",Midwest,42.96335990,-85.66808630,2011,2.46,0.76,2.32,2.86,4.01,2.33,2791890413.0,42120,0,0,34536.04,2.44,5.37,0.3093,0.2689,0.2156,0.8817,0.0125,5135.00,10977.00,0.8411,0,0.1129,345.40,0.367,0.33,0.0603,0.434,0.039,0.096,0.157,0.236,0.473,0.2,25393,33900,53457,50212,0.5891,0.4036,0.1346,0.2213,0.346,0.4671,0.7863,0.7322,24,0.918,0.0253,10314.14,0
126,18,"Greensboro-Winston-Salem-High Point, NC",Southeast,36.07263550,-79.79197540,2011,2.05,0.52,2.25,2.11,3.14,2.21,4054085072.0,47108,0,0,35092.27,2.08,4.08,0.2922,0.2611,0.1907,0.8433,0.009,8843.00,7831.00,0.6521,0,0.168,0,0.272,0.319,0.081,0.466,0.035,0.088,0.145,0.23,0.502,0.217,31892,31911,50629,42930,0.3545,0.4301,0.1308,0.2469,0.4442,0.4412,0.7544,0.6568,27,0.9285,0.0265,4924.14,0
127,19,"Greenville-Spartanburg-Anderson, SC",Southeast,34.85123160,-82.39851050,2011,1.83,0.71,1.84,2,2.93,1.69,11743696084.0,38607,0,0,33615.84,4.41,4.77,0.3097,0.2743,0.1912,0.8407,0.0098,4364.00,9061.00,0.5178,0,0.1642,539.70,0.301,0.296,0.067,0.466,0.034,0.087,0.147,0.231,0.501,0.219,30378,30921,50841,45572,0.4393,0.4259,0.149,0.2389,0.4655,0.4395,0.7505,0.6833,0,0.9295,0.0229,497.34,0
128,20,"Hartford-West Hartford-Willimantic, CT",Northeast,41.76559900,-72.69058501,2011,2.69,1.77,3.41,2.75,3.49,2.05,9321565460.0,65776,0,0,54081.26,5.24,4.47,0.3982,0.3486,0.1934,0.8888,0.0107,10024.00,16452.00,0.7562,0.0019,0.0784,293.40,0.269,0.4,0.1291,0.451,0.034,0.091,0.154,0.237,0.484,0.205,43503,35062,76088,67606,0.2515,0.3348,0.0523,0.1325,0.4096,0.3141,0.7772,0.6875,38,0.8918,0.0321,14972.64,0
129,21,"Houston-Baytown-Huntsville, TX",Southeast,29.95192650,-95.54091698,2011,2.3,2.86,2.3,2.19,2.42,1.73,99999999999.9,65705,0,0,48719.01,3.64,6.12,0.2802,0.2842,0.231,0.8028,0.0099,6721.00,8903.00,0.3096,0.0174,0.247,550.80,0.23,0.358,0.2215,0.478,0.032,0.084,0.143,0.229,0.512,0.226,41094,42043,76546,56931,0.3041,0.3379,0.0865,0.24,0.4631,0.5342,0.7301,0.6237,52,0.9099,0.0289,66451.03,0
130,22,"Indianapolis-Anderson-Columbus, IN",Midwest,39.76837950,-86.15804470,2011,2.11,1.48,2.26,2.35,2.54,1.91,9560684920.0,57916,0,0,40683.34,2.82,5.99,0.35,0.3079,0.2163,0.8677,0.015,4772.00,9273.00,0.1863,0.0093,0.1388,586.20,0.269,0.336,0.0645,0.455,0.037,0.091,0.149,0.232,0.492,0.215,32143,32107,58079,52501,0.3743,0.4445,0.1208,0.2021,0.3975,0.4025,0.7373,0.6691,41,0.9279,0.0217,9254.94,0
131,23,"Jacksonville, FL",Southeast,30.33218380,-81.65565100,2011,2.27,1.3,2.18,2.52,3.14,2.22,2385248229.0,41352,0,0,41517.15,1.06,6.84,0.2731,0.271,0.199,0.8785,0.0065,5475.00,8621.00,0.611,0.0088,0.1623,523.60,0.322,0.339,0.0805,0.460,0.034,0.092,0.15,0.229,0.495,0.224,35017,43199,58449,52452,0.3759,0.2331,0.1278,0.2044,0.4924,0.5364,0.7392,0.6752,30,0.9124,0.0241,11719.91,0
132,24,"Kansas City-Overland Park-Kansas City, MO-KS",Midwest,39.08446870,-94.56302980,2011,2.4,1.41,2.61,2.84,2.87,2.29,7958905529.0,52825,0,0,44099.74,3.12,5.64,0.3607,0.3273,0.2099,0.8936,0.0122,5998.00,9599.00,0.2822,0.0055,0.1325,476.80,0.31,0.36,0.0631,0.443,0.037,0.094,0.155,0.236,0.479,0.202,32703,40198,62328,56673,0.399,0.3175,0.1042,0.1801,0.4116,0.4894,0.7347,0.6755,27,0.9197,0.0212,16147.32,0
133,25,"Knoxville-Sevierville-La Follette, TN",Southeast,35.96039480,-83.92102610,2011,2.04,0.85,2.1,1.99,3.24,2,2556464496.0,39771,0,0,35175.74,2.69,5.72,0.346,0.2891,0.1765,0.8724,0.0112,6416.00,8568.00,0.3863,0,0.1179,460.00,0.298,0.35,0.0397,0.459,0.035,0.089,0.149,0.233,0.494,0.215,25328,32174,48771,46432,0.4939,0.4527,0.1534,0.2016,0.356,0.406,0.7264,0.6895,37,0.9379,0.0156,3085.40,0
134,26,"Las Vegas-Paradise-Pahrump, NV",Southwest,36.14520400,-115.16118060,2011,1.99,1.3,1.2,3.07,2.48,1.9,1667576095.0,42646,0,0,36446.27,1.18,7.42,0.2067,0.219,0.1966,0.826,0.0294,7081.00,8619.00,0.4822,0.0074,0.2251,647.00,0.221,0.408,0.2188,0.442,0.038,0.096,0.154,0.232,0.481,0.205,40163,43727,60395,53476,0.35,0.2872,0.1073,0.2138,0.3307,0.4406,0.6302,0.5536,44,0.8965,0.0371,55476.97,0
135,27,"Los Angeles-Long Beach-Riverside, CA",Southwest,34.05367810,-118.24270250,2011,2.06,1.71,2.18,1.99,2.27,2.16,72688940296.0,58155,0,0,45328.26,4.01,3.58,0.3282,0.3082,0.2069,0.7845,0.0088,6596.00,9049.00,0.0548,0.0079,0.2157,405.40,0.22,0.392,0.3441,0.486,0.031,0.082,0.142,0.227,0.519,0.234,43256,47418,76050,60102,0.2988,0.2961,0.0732,0.2245,0.3521,0.3945,0.602,0.4999,61,0.8427,0.0408,541955.05,0
136,28,"Louisville-Jefferson County-Elizabethtown-Scottsburg, KY-IN",Southeast,38.25423760,-85.75940700,2011,2.01,0.92,2.04,2.22,2.84,2.05,6756598827.0,0,0,0,39847.67,1.21,5.17,0.3072,0.2536,0.2009,0.8623,0.0164,6491.00,9763.00,0.2493,0.0056,0.1289,419.00,0.309,0.35,0.0474,0.456,0.036,0.091,0.149,0.233,0.492,0.213,30024,34756,52661,48273,0.4492,0.4175,0.1414,0.2201,0.3891,0.3599,0.7471,0.6846,35,0.921,0.0281,14681.19,0
137,29,"Memphis, TN-MS-AR",Southeast,35.14902150,-90.05162850,2011,1.85,1.17,2.09,1.93,2.13,1.92,11978609340.0,46411,0,0,39328.01,2.29,5.72,0.2706,0.2505,0.2195,0.8441,0.0135,6416.00,8568.00,0.4575,0.0051,0.1612,980.40,0.219,0.315,0.0508,0.471,0.032,0.086,0.147,0.233,0.504,0.218,33389,33459,62931,47019,0.418,0.4093,0.0988,0.2847,0.4985,0.3778,0.7645,0.6335,38,0.9349,0.0285,9287.21,0
138,30,"Miami-Fort Lauderdale-Pompano Beach, FL",Southeast,25.77426580,-80.19365890,2011,1.97,1.87,1.7,1.89,2.44,1.96,43129863646.0,43806,0,0,43813.63,1.97,6.84,0.2882,0.2821,0.1821,0.8274,0.0124,5475.00,8621.00,0.6822,0.019,0.2609,724.00,0.163,0.375,0.3835,0.499,0.03,0.08,0.137,0.22,0.533,0.25,37172,41921,57900,47543,0.364,0.2343,0.1034,0.2289,0.4943,0.5638,0.7495,0.6379,47,0.8817,0.0367,125753.27,0
139,31,"Milwaukee-Racine-Waukesha, WI",Midwest,43.03499310,-87.92249700,2011,2.33,1.23,2.8,2.16,3.19,2.29,8826252575.0,56663,0,0,45543.84,3.55,4.40,0.3594,0.3144,0.2073,0.8874,0.0089,6539.00,11883.00,0.5671,0.003,0.0983,448.10,0.32,0.34,0.0692,0.459,0.035,0.088,0.15,0.235,0.492,0.213,26936,36893,61986,52916,0.5146,0.3741,0.0722,0.2281,0.3175,0.4215,0.6981,0.6153,28,0.8906,0.0385,45358.16,0
140,32,"Minneapolis-St. Paul-St. Cloud, MN-WI",Midwest,44.97729950,-93.26546920,2011,2.84,1.84,3.09,2.96,3.98,2.32,26189091665.0,60523,0,0,49335.04,9.47,4.19,0.4339,0.3802,0.2079,0.9195,0.0071,5221.00,10724.00,0.5397,0.0099,0.0898,,0.37,0.4,0.0962,0.440,0.037,0.096,0.156,0.233,0.477,0.207,29585,41997,71047,66007,0.452,0.2897,0.0629,0.144,0.251,0.3982,0.7725,0.7132,34,0.8676,0.0273,80638.03,0
141,33,"Nashville-Davidson-Murfreesboro-Columbia, TN",Southeast,36.16222570,-86.77434190,2011,2.13,1.26,2.4,2.29,2.9,1.82,5878661947.0,51915,0,0,42476.20,1.33,5.72,0.3459,0.3036,0.1999,0.8678,0.0093,6416.00,8568.00,0.5041,0.0134,0.1391,650.80,0.309,0.299,0.0755,0.461,0.035,0.091,0.148,0.227,0.499,0.224,35297,37673,56512,52155,0.3882,0.3664,0.139,0.2091,0.4414,0.3874,0.7289,0.6679,47,0.9196,0.0174,8225.44,0
